track_id,track_name,information_required,why_required,current_status,provided_value,source_url,verified_at,notes
MURTOA,Murtoa,Fallback distance from racecourse,Required so EDGEiQ discloses how representative the fallback observation is.,REQUIRED,,,,
SALE,Sale,Exact racecourse latitude and longitude,Required to validate forecast location and calculate fallback-station distance.,REQUIRED,,,,
SALE,Sale,Official current-observation source,Confirms whether the track has its own live station or must use BOM observations.,REQUIRED,,,,
SALE,Sale,Primary observation URL or endpoint,Required for automated current conditions ingestion.,REQUIRED,,,,
SALE,Sale,Primary station name and station ID,Required for source lineage and operational monitoring.,REQUIRED,,,,
SALE,Sale,Observed fields available,"Required to know whether temperature, wind, gusts, rainfall and humidity are supplied.",REQUIRED,,,,
SALE,Sale,Observation update frequency,Required for freshness thresholds and stale-state handling.,REQUIRED,,,,
SALE,Sale,BOM forecast page or forecast location,Required for hourly and daily race-day forecasting.,REQUIRED,,,,
SALE,Sale,BOM fallback observation station,Required when the preferred live source is unavailable.,REQUIRED,,,,
SALE,Sale,Fallback distance from racecourse,Required so EDGEiQ discloses how representative the fallback observation is.,REQUIRED,,,,
SEYMOUR,Seymour,Exact racecourse latitude and longitude,Required to validate forecast location and calculate fallback-station distance.,REQUIRED,,,,
SEYMOUR,Seymour,Official current-observation source,Confirms whether the track has its own live station or must use BOM observations.,REQUIRED,,,,
SEYMOUR,Seymour,Primary observation URL or endpoint,Required for automated current conditions ingestion.,REQUIRED,,,,
SEYMOUR,Seymour,Primary station name and station ID,Required for source lineage and operational monitoring.,REQUIRED,,,,
SEYMOUR,Seymour,Observed fields available,"Required to know whether temperature, wind, gusts, rainfall and humidity are supplied.",REQUIRED,,,,
SEYMOUR,Seymour,Observation update frequency,Required for freshness thresholds and stale-state handling.,REQUIRED,,,,
SEYMOUR,Seymour,BOM forecast page or forecast location,Required for hourly and daily race-day forecasting.,REQUIRED,,,,
SEYMOUR,Seymour,BOM fallback observation station,Required when the preferred live source is unavailable.,REQUIRED,,,,
SEYMOUR,Seymour,Fallback distance from racecourse,Required so EDGEiQ discloses how representative the fallback observation is.,REQUIRED,,,,
ST_ARNAUD,St Arnaud,Exact racecourse latitude and longitude,Required to validate forecast location and calculate fallback-station distance.,REQUIRED,,,,
ST_ARNAUD,St Arnaud,Official current-observation source,Confirms whether the track has its own live station or must use BOM observations.,REQUIRED,,,,
ST_ARNAUD,St Arnaud,Primary observation URL or endpoint,Required for automated current conditions ingestion.,REQUIRED,,,,
ST_ARNAUD,St Arnaud,Primary station name and station ID,Required for source lineage and operational monitoring.,REQUIRED,,,,
ST_ARNAUD,St Arnaud,Observed fields available,"Required to know whether temperature, wind, gusts, rainfall and humidity are supplied.",REQUIRED,,,,
ST_ARNAUD,St Arnaud,Observation update frequency,Required for freshness thresholds and stale-state handling.,REQUIRED,,,,
ST_ARNAUD,St Arnaud,BOM forecast page or forecast location,Required for hourly and daily race-day forecasting.,REQUIRED,,,,
ST_ARNAUD,St Arnaud,BOM fallback observation station,Required when the preferred live source is unavailable.,REQUIRED,,,,
ST_ARNAUD,St Arnaud,Fallback distance from racecourse,Required so EDGEiQ discloses how representative the fallback observation is.,REQUIRED,,,,
SWAN_HILL,Swan Hill,Exact racecourse latitude and longitude,Required to validate forecast location and calculate fallback-station distance.,REQUIRED,,,,
SWAN_HILL,Swan Hill,Official current-observation source,Confirms whether the track has its own live station or must use BOM observations.,REQUIRED,,,,
SWAN_HILL,Swan Hill,Primary observation URL or endpoint,Required for automated current conditions ingestion.,REQUIRED,,,,
SWAN_HILL,Swan Hill,Primary station name and station ID,Required for source lineage and operational monitoring.,REQUIRED,,,,
SWAN_HILL,Swan Hill,Observed fields available,"Required to know whether temperature, wind, gusts, rainfall and humidity are supplied.",REQUIRED,,,,
SWAN_HILL,Swan Hill,Observation update frequency,Required for freshness thresholds and stale-state handling.,REQUIRED,,,,
SWAN_HILL,Swan Hill,BOM forecast page or forecast location,Required for hourly and daily race-day forecasting.,REQUIRED,,,,
SWAN_HILL,Swan Hill,BOM fallback observation station,Required when the preferred live source is unavailable.,REQUIRED,,,,
SWAN_HILL,Swan Hill,Fallback distance from racecourse,Required so EDGEiQ discloses how representative the fallback observation is.,REQUIRED,,,,
TERANG,Terang,Exact racecourse latitude and longitude,Required to validate forecast location and calculate fallback-station distance.,REQUIRED,,,,
TERANG,Terang,Official current-observation source,Confirms whether the track has its own live station or must use BOM observations.,REQUIRED,,,,
TERANG,Terang,Primary observation URL or endpoint,Required for automated current conditions ingestion.,REQUIRED,,,,
TERANG,Terang,Primary station name and station ID,Required for source lineage and operational monitoring.,REQUIRED,,,,
TERANG,Terang,Observed fields available,"Required to know whether temperature, wind, gusts, rainfall and humidity are supplied.",REQUIRED,,,,
TERANG,Terang,Observation update frequency,Required for freshness thresholds and stale-state handling.,REQUIRED,,,,
TERANG,Terang,BOM forecast page or forecast location,Required for hourly and daily race-day forecasting.,REQUIRED,,,,
TERANG,Terang,BOM fallback observation station,Required when the preferred live source is unavailable.,REQUIRED,,,,
TERANG,Terang,Fallback distance from racecourse,Required so EDGEiQ discloses how representative the fallback observation is.,REQUIRED,,,,
WANGARATTA,Wangaratta,Exact racecourse latitude and longitude,Required to validate forecast location and calculate fallback-station distance.,REQUIRED,,,,
WANGARATTA,Wangaratta,Official current-observation source,Confirms whether the track has its own live station or must use BOM observations.,REQUIRED,,,,
WANGARATTA,Wangaratta,Primary observation URL or endpoint,Required for automated current conditions ingestion.,REQUIRED,,,,
WANGARATTA,Wangaratta,Primary station name and station ID,Required for source lineage and operational monitoring.,REQUIRED,,,,
WANGARATTA,Wangaratta,Observed fields available,"Required to know whether temperature, wind, gusts, rainfall and humidity are supplied.",REQUIRED,,,,
WANGARATTA,Wangaratta,Observation update frequency,Required for freshness thresholds and stale-state handling.,REQUIRED,,,,
WANGARATTA,Wangaratta,BOM forecast page or forecast location,Required for hourly and daily race-day forecasting.,REQUIRED,,,,
WANGARATTA,Wangaratta,BOM fallback observation station,Required when the preferred live source is unavailable.,REQUIRED,,,,
WANGARATTA,Wangaratta,Fallback distance from racecourse,Required so EDGEiQ discloses how representative the fallback observation is.,REQUIRED,,,,
WARRACKNABEAL,Warracknabeal,Exact racecourse latitude and longitude,Required to validate forecast location and calculate fallback-station distance.,REQUIRED,,,,
WARRACKNABEAL,Warracknabeal,Official current-observation source,Confirms whether the track has its own live station or must use BOM observations.,REQUIRED,,,,
WARRACKNABEAL,Warracknabeal,Primary observation URL or endpoint,Required for automated current conditions ingestion.,REQUIRED,,,,
WARRACKNABEAL,Warracknabeal,Primary station name and station ID,Required for source lineage and operational monitoring.,REQUIRED,,,,
WARRACKNABEAL,Warracknabeal,Observed fields available,"Required to know whether temperature, wind, gusts, rainfall and humidity are supplied.",REQUIRED,,,,
WARRACKNABEAL,Warracknabeal,Observation update frequency,Required for freshness thresholds and stale-state handling.,REQUIRED,,,,
WARRACKNABEAL,Warracknabeal,BOM forecast page or forecast location,Required for hourly and daily race-day forecasting.,REQUIRED,,,,
WARRACKNABEAL,Warracknabeal,BOM fallback observation station,Required when the preferred live source is unavailable.,REQUIRED,,,,
WARRACKNABEAL,Warracknabeal,Fallback distance from racecourse,Required so EDGEiQ discloses how representative the fallback observation is.,REQUIRED,,,,
WARRNAMBOOL,Warrnambool,Exact racecourse latitude and longitude,Required to validate forecast location and calculate fallback-station distance.,REQUIRED,,,,
WARRNAMBOOL,Warrnambool,Official current-observation source,Confirms whether the track has its own live station or must use BOM observations.,REQUIRED,,,,
WARRNAMBOOL,Warrnambool,Primary observation URL or endpoint,Required for automated current conditions ingestion.,REQUIRED,,,,
WARRNAMBOOL,Warrnambool,Primary station name and station ID,Required for source lineage and operational monitoring.,REQUIRED,,,,
WARRNAMBOOL,Warrnambool,Observed fields available,"Required to know whether temperature, wind, gusts, rainfall and humidity are supplied.",REQUIRED,,,,
WARRNAMBOOL,Warrnambool,Observation update frequency,Required for freshness thresholds and stale-state handling.,REQUIRED,,,,
WARRNAMBOOL,Warrnambool,BOM forecast page or forecast location,Required for hourly and daily race-day forecasting.,REQUIRED,,,,
WARRNAMBOOL,Warrnambool,BOM fallback observation station,Required when the preferred live source is unavailable.,REQUIRED,,,,
WARRNAMBOOL,Warrnambool,Fallback distance from racecourse,Required so EDGEiQ discloses how representative the fallback observation is.,REQUIRED,,,,
WERRIBEE,Werribee,Exact racecourse latitude and longitude,Required to validate forecast location and calculate fallback-station distance.,REQUIRED,,,,
WERRIBEE,Werribee,Official current-observation source,Confirms whether the track has its own live station or must use BOM observations.,REQUIRED,,,,
WERRIBEE,Werribee,Primary observation URL or endpoint,Required for automated current conditions ingestion.,REQUIRED,,,,
WERRIBEE,Werribee,Primary station name and station ID,Required for source lineage and operational monitoring.,REQUIRED,,,,
WERRIBEE,Werribee,Observed fields available,"Required to know whether temperature, wind, gusts, rainfall and humidity are supplied.",REQUIRED,,,,
WERRIBEE,Werribee,Observation update frequency,Required for freshness thresholds and stale-state handling.,REQUIRED,,,,
WERRIBEE,Werribee,BOM forecast page or forecast location,Required for hourly and daily race-day forecasting.,REQUIRED,,,,
WERRIBEE,Werribee,BOM fallback observation station,Required when the preferred live source is unavailable.,REQUIRED,,,,
WERRIBEE,Werribee,Fallback distance from racecourse,Required so EDGEiQ discloses how representative the fallback observation is.,REQUIRED,,,,
WODONGA,Wodonga,Exact racecourse latitude and longitude,Required to validate forecast location and calculate fallback-station distance.,REQUIRED,,,,
WODONGA,Wodonga,Official current-observation source,Confirms whether the track has its own live station or must use BOM observations.,REQUIRED,,,,
WODONGA,Wodonga,Primary observation URL or endpoint,Required for automated current conditions ingestion.,REQUIRED,,,,
WODONGA,Wodonga,Primary station name and station ID,Required for source lineage and operational monitoring.,REQUIRED,,,,
WODONGA,Wodonga,Observed fields available,"Required to know whether temperature, wind, gusts, rainfall and humidity are supplied.",REQUIRED,,,,
WODONGA,Wodonga,Observation update frequency,Required for freshness thresholds and stale-state handling.,REQUIRED,,,,
WODONGA,Wodonga,BOM forecast page or forecast location,Required for hourly and daily race-day forecasting.,REQUIRED,,,,
WODONGA,Wodonga,BOM fallback observation station,Required when the preferred live source is unavailable.,REQUIRED,,,,
WODONGA,Wodonga,Fallback distance from racecourse,Required so EDGEiQ discloses how representative the fallback observation is.,REQUIRED,,,,
YARRA_VALLEY,Yarra Valley,Exact racecourse latitude and longitude,Required to validate forecast location and calculate fallback-station distance.,REQUIRED,,,,
YARRA_VALLEY,Yarra Valley,Official current-observation source,Confirms whether the track has its own live station or must use BOM observations.,REQUIRED,,,,
YARRA_VALLEY,Yarra Valley,Primary observation URL or endpoint,Required for automated current conditions ingestion.,REQUIRED,,,,
YARRA_VALLEY,Yarra Valley,Primary station name and station ID,Required for source lineage and operational monitoring.,REQUIRED,,,,
YARRA_VALLEY,Yarra Valley,Observed fields available,"Required to know whether temperature, wind, gusts, rainfall and humidity are supplied.",REQUIRED,,,,
YARRA_VALLEY,Yarra Valley,Observation update frequency,Required for freshness thresholds and stale-state handling.,REQUIRED,,,,
YARRA_VALLEY,Yarra Valley,BOM forecast page or forecast location,Required for hourly and daily race-day forecasting.,REQUIRED,,,,
YARRA_VALLEY,Yarra Valley,BOM fallback observation station,Required when the preferred live source is unavailable.,REQUIRED,,,,
YARRA_VALLEY,Yarra Valley,Fallback distance from racecourse,Required so EDGEiQ discloses how representative the fallback observation is.,REQUIRED,,,,
